#bin	matches	misMatches	repMatches	nCount	qNumInsert	qBaseInsert	tNumInsert	tBaseInsert	strand	qName	qSize	qStart	qEnd	tName	tSize	tStart	tEnd	blockCount	blockSizes	qStarts	tStarts
738	2506	3	74	0	0	0	7	18060	-	206091_at	2599	0	2583	chr2	242951149	20055293	20075936	8	1115,111,126,126,126,126,567,286,	16,1131,1242,1368,1494,1620,1746,2313,	20055293,20057540,20060375,20063682,20065196,20066402,20068985,20075650,
940	142	2	857	1	0	0	1	1	+	239258_at	1002	0	1002	chr2	242951149	46658222	46659225	2	12,990,	0,12,	46658222,46658235,
1077	770	1	0	0	0	0	4	3364	+	219998_at	801	6	777	chr2	242951149	64535165	64539300	5	54,72,89,178,378,	6,60,132,221,399,	64535165,64535981,64536226,64536925,64538922,
1151	1393	1	631	31	3	3	1	1	+	234976_x_at	2388	6	2065	chr2	242951149	74296672	74298729	5	124,82,557,1174,119,	6,130,213,771,1946,	74296672,74296797,74296879,74297436,74298610,
1423	404	0	374	3	1	1	1	743	-	236289_at	820	32	814	chr2	242951149	109873664	109875188	3	758,5,18,	6,764,770,	109873664,109875165,109875170,
1430	404	0	374	3	1	1	1	743	+	236289_at	820	32	814	chr2	242951149	110803768	110805292	3	18,5,758,	32,51,56,	110803768,110803786,110804534,
1432	404	0	374	3	1	1	1	742	+	236289_at	820	32	814	chr2	242951149	111085218	111086741	3	18,5,758,	32,51,56,	111085218,111085236,111085983,
2158	1541	1	449	28	3	3	0	0	+	232701_at	2022	0	2022	chr2	242951149	206276133	206278152	4	1231,5,7,776,	0,1232,1238,1246,	206276133,206277364,206277369,206277376,
2159	743	0	104	0	0	0	0	0	+	229225_at	852	5	852	chr2	242951149	206368620	206369467	1	847,	5,	206368620,
2232	822	0	160	44	1	1	2	2	-	235629_at	1027	0	1027	chr2	242951149	215938948	215939976	4	617,386,15,8,	0,618,1004,1019,	215938948,215939565,215939952,215939968,
2298	45	0	403	2	0	0	0	0	-	236599_at	450	0	450	chr2	242951149	224558272	224558722	1	450,	0,	224558272,
82	2827	2	539	36	9	9	12	75396	+	231779_at	3430	0	3413	chr3	199501827	10181629	10260429	22	103,183,147,104,195,65,115,110,196,63,201,224,68,98,526,84,42,118,13,93,58,598,	0,103,286,433,537,732,797,912,1022,1218,1281,1482,1707,1775,1874,2401,2486,2529,2648,2662,2756,2815,	10181629,10194521,10217052,10226272,10229890,10230167,10233617,10236363,10239319,10243054,10251142,10255431,10255655,10258799,10258897,10259423,10259507,10259549,10259667,10259680,10259773,10259831,
238	3034	0	171	23	4	4	11	60558	+	222692_s_at	3320	0	3232	chr3	199501827	173535481	173599267	16	85,72,119,96,10,173,114,150,281,213,167,128,942,13,35,630,	0,85,157,276,373,383,556,670,820,1101,1314,1481,1609,2552,2566,2602,	173535481,173537813,173541596,173543494,173543590,173544569,173546810,173547695,173553286,173563116,173578753,173581449,173597647,173598589,173598602,173598637,
238	3034	0	171	23	4	4	11	60558	+	222693_at	3320	0	3232	chr3	199501827	173535481	173599267	16	85,72,119,96,10,173,114,150,281,213,167,128,942,13,35,630,	0,85,157,276,373,383,556,670,820,1101,1314,1481,1609,2552,2566,2602,	173535481,173537813,173541596,173543494,173543590,173544569,173546810,173547695,173553286,173563116,173578753,173581449,173597647,173598589,173598602,173598637,
705	1750	6	103	84	8	16	13	14693	-	229307_at	1961	0	1959	chr3	199501827	15797947	15814583	21	129,90,84,248,469,3,11,8,9,12,5,2,4,9,27,117,17,5,29,46,619,	2,132,222,306,556,1025,1028,1039,1047,1056,1068,1073,1075,1079,1096,1123,1241,1259,1265,1295,1342,	15797947,15798076,15811733,15812906,15813154,15813624,15813628,15813640,15813649,15813659,15813672,15813678,15813681,15813686,15813722,15813750,15813867,15813884,15813889,15813918,15813964,
708	730	0	0	8	0	0	1	4595	+	236361_at	740	2	740	chr3	199501827	16239121	16244454	2	148,590,	2,150,	16239121,16243864,
1907	1493	0	137	11	6	11	2	2	+	232472_at	1652	0	1652	chr3	199501827	173372498	173374141	8	811,536,9,3,9,227,21,25,	0,815,1354,1364,1368,1378,1606,1627,	173372498,173373309,173373846,173373855,173373858,173373867,173374094,173374116,
1909	530	0	195	4	1	1	0	0	+	244022_at	730	0	730	chr3	199501827	173568026	173568755	2	178,551,	0,179,	173568026,173568204,
623	996	2	0	0	0	0	3	3884	-	219837_s_at	999	1	999	chr4	191273063	5067218	5072100	4	644,129,45,180,	0,644,773,818,	5067218,5069463,5069762,5071920,
1263	477	0	0	7	2	2	0	0	+	236028_at	490	0	486	chr4	191273063	88952141	88952625	3	30,9,445,	0,31,41,	88952141,88952171,88952180,
1718	939	0	0	5	0	0	1	1	+	243555_at	944	0	944	chr4	191273063	148628059	148629004	2	7,937,	0,7,	148628059,148628067,
1750	1382	0	0	7	27	36	2	5	+	228441_s_at	1443	13	1438	chr4	191273063	152809711	152811105	28	147,40,34,6,5,5,8,4,4,7,9,3,4,7,22,3,51,21,13,13,6,6,14,7,23,142,185,600,	13,161,202,239,246,252,258,267,278,283,291,301,305,310,318,341,346,398,420,434,448,455,462,477,485,509,652,838,	152809711,152809858,152809898,152809933,152809939,152809944,152809949,152809957,152809965,152809969,152809976,152809985,152809988,152809992,152809999,152810021,152810024,152810075,152810096,152810109,152810122,152810128,152810134,152810148,152810155,152810178,152810320,152810505,
105	1696	0	0	0	0	0	5	21802	-	220988_s_at	1710	14	1710	chr5	180857866	34055558	34079056	6	1046,100,130,155,112,153,	0,1046,1146,1276,1431,1543,	34055558,34059770,34064615,34069165,34071508,34078903,
152	1710	0	0	0	0	0	10	439512	-	207379_at	1719	0	1710	chr5	180857866	83274836	83716058	11	307,156,185,145,156,182,114,129,30,129,177,	9,316,472,657,802,958,1140,1254,1383,1413,1542,	83274836,83294779,83391874,83396274,83398025,83438222,83468814,83511966,83561428,83585657,83715881,
1092	329	6	129	8	0	0	1	1	+	222348_at	579	0	472	chr5	180857866	66474405	66474878	2	332,140,	0,332,	66474405,66474738,
1092	2334	0	82	24	8	8	1	54621	+	225611_at	2472	0	2448	chr5	180857866	66498775	66555836	10	250,38,183,42,14,27,561,25,1262,38,	0,251,290,474,517,532,560,1122,1148,2410,	66498775,66499025,66499063,66499246,66499288,66499302,66499329,66499890,66499915,66555798,
1092	2334	0	82	24	8	8	1	54621	+	225613_at	2472	0	2448	chr5	180857866	66498775	66555836	10	250,38,183,42,14,27,561,25,1262,38,	0,251,290,474,517,532,560,1122,1148,2410,	66498775,66499025,66499063,66499246,66499288,66499302,66499329,66499890,66499915,66555798,
1218	1725	4	30	0	0	0	5	78203	-	205523_at	1759	0	1759	chr5	180857866	82972492	83052454	6	440,427,303,372,126,91,	0,440,867,1170,1542,1668,	82972492,82972933,82975937,82984027,83004998,83052363,
1218	1445	5	42	0	0	0	4	78202	-	205524_s_at	1492	0	1492	chr5	180857866	82972958	83052652	5	402,303,372,126,289,	0,402,705,1077,1203,	82972958,82975937,82984027,83004998,83052363,
1218	896	0	0	11	3	3	0	0	-	230204_at	936	1	911	chr5	180857866	82971507	82972414	4	668,6,19,214,	25,694,701,721,	82971507,82972175,82972181,82972200,
1218	502	4	0	13	2	6	1	6	-	230895_at	525	0	525	chr5	180857866	82969704	82970229	3	18,41,460,	0,19,65,	82969704,82969722,82969769,
1220	435	4	730	4	1	1	0	0	-	233668_at	1194	11	1185	chr5	180857866	83356377	83357550	2	935,238,	9,945,	83356377,83357312,
1589	153	0	0	3	0	0	0	0	+	214175_x_at	241	43	199	chr5	180857866	131635768	131635924	1	156,	43,	131635768,
1952	332	0	60	1	1	1	0	0	+	244804_at	394	0	394	chr5	180857866	179181240	179181633	2	312,81,	0,313,	179181240,179181552,
80	2786	3	82	0	1	1	7	151847	+	206176_at	2943	0	2872	chr6	170899992	7672008	7826726	9	843,193,149,198,77,111,1109,64,127,	0,843,1036,1185,1383,1460,1571,2680,2745,	7672008,7790371,7806682,7807532,7824305,7825222,7825425,7826535,7826599,
106	837	0	44	9	0	0	1	163309	+	228407_at	896	0	890	chr6	170899992	35327969	35492168	2	858,32,	0,858,	35327969,35492136,
140	3729	2	0	58	4	4	37	83262	-	222008_at	3794	0	3793	chr6	170899992	70982456	71069507	42	622,427,78,189,55,147,33,45,36,72,54,54,54,45,54,54,54,54,54,107,56,57,33,54,54,24,36,54,63,36,36,5,33,21,84,37,39,321,133,78,74,173,	1,624,1051,1129,1318,1373,1520,1553,1598,1634,1706,1760,1814,1868,1913,1967,2021,2075,2129,2183,2290,2346,2403,2436,2490,2544,2568,2604,2658,2721,2757,2793,2799,2832,2853,2937,2975,3015,3336,3469,3547,3621,	70982456,70983078,70992355,70999006,71000962,71001217,71005677,71007112,71007842,71008387,71009085,71018543,71018685,71019808,71020899,71021386,71021573,71021760,71023191,71027080,71033138,71035227,71036056,71036737,71038078,71038488,71040470,71041142,71047235,71047427,71047813,71047850,71047855,71049321,71050160,71060590,71060627,71060666,71066466,71066732,71068424,71069334,
777	663	3	249	8	4	4	1	2046	-	229604_at	954	0	927	chr6	170899992	25213953	25216922	6	608,45,11,119,101,39,	27,636,682,694,813,915,	25213953,25214561,25214606,25214617,25216782,25216883,
838	6391	0	0	20	4	13	66	23362	-	213870_at	6447	0	6424	chr6	170899992	33238448	33268221	70	1125,207,113,268,54,36,54,108,54,54,108,54,54,54,54,25,83,54,54,54,54,108,54,54,108,51,57,54,90,108,54,54,54,45,54,45,54,54,108,54,45,54,45,54,45,54,45,54,45,54,54,54,16,38,54,57,87,75,63,42,60,180,63,78,88,94,163,211,150,308,	23,1148,1355,1468,1736,1790,1826,1880,1988,2042,2096,2204,2258,2312,2366,2420,2446,2529,2583,2637,2691,2745,2853,2907,2961,3069,3121,3178,3232,3322,3430,3484,3538,3592,3637,3691,3736,3790,3844,3952,4006,4051,4105,4150,4204,4249,4303,4348,4402,4447,4501,4555,4609,4626,4664,4718,4775,4862,4937,5000,5042,5102,5282,5345,5423,5521,5615,5778,5989,6139,	33238448,33240021,33240606,33241303,33241685,33241925,33242267,33242474,33242824,33243018,33243180,33243553,33244273,33244460,33244709,33245137,33245162,33245585,33245801,33246080,33246311,33246564,33246868,33247025,33247221,33247467,33247518,33247804,33248043,33248284,33248814,33249102,33249256,33249455,33249627,33249765,33249919,33250281,33251328,33251770,33252013,33252187,33252475,33252746,33252935,33253166,33253416,33253886,33254062,33254189,33254433,33254674,33254827,33254843,33254985,33255185,33255473,33256012,33256422,33256718,33256865,33259899,33260746,33261455,33262381,33262479,33264116,33264732,33265074,33267913,
838	5207	12	0	5	4	12	68	23623	-	216993_s_at	5236	0	5236	chr6	170899992	33239148	33267995	71	37,47,80,259,207,113,268,54,36,54,108,54,54,108,54,54,54,54,27,77,54,54,54,54,108,54,54,108,54,4,49,54,90,108,54,54,54,45,54,45,54,54,108,54,45,54,45,54,45,54,45,54,45,54,54,54,18,30,54,57,87,75,63,42,60,63,192,163,211,150,82,	0,38,85,165,424,631,744,1012,1066,1102,1156,1264,1318,1372,1480,1534,1588,1642,1696,1727,1804,1858,1912,1966,2020,2128,2182,2236,2344,2399,2403,2452,2506,2596,2704,2758,2812,2866,2911,2965,3010,3064,3118,3226,3280,3325,3379,3424,3478,3523,3577,3622,3676,3721,3775,3829,3883,3907,3937,3991,4048,4135,4210,4273,4315,4375,4438,4630,4793,5004,5154,	33239148,33239185,33239233,33239314,33240021,33240606,33241303,33241685,33241925,33242267,33242474,33242824,33243018,33243180,33243553,33244273,33244460,33244709,33245137,33245168,33245585,33245801,33246080,33246311,33246564,33246868,33247025,33247221,33247467,33247521,33247526,33247804,33248043,33248284,33248814,33249102,33249256,33249455,33249627,33249765,33249919,33250281,33251328,33251770,33252013,33252187,33252475,33252746,33252935,33253166,33253416,33253886,33254062,33254189,33254433,33254674,33254827,33254851,33254985,33255185,33255473,33256012,33256422,33256718,33256865,33260746,33262381,33264116,33264732,33265074,33267913,
854	846	0	0	30	2	3	2	4	+	230290_at	881	0	879	chr6	170899992	35324562	35325442	4	693,93,29,61,	0,694,787,818,	35324562,35325255,35325349,35325381,
1474	3502	1	53	9	3	7	2	3378	-	205941_s_at	3606	0	3572	chr6	170899992	116546813	116553756	5	440,370,298,1895,562,	34,475,848,1149,3044,	116546813,116547253,116547624,116547922,116553194,
1474	3128	1	56	0	2	4	2	3922	-	217428_s_at	3189	0	3189	chr6	170899992	116546882	116553989	5	731,309,1895,169,81,	0,732,1044,2939,3108,	116546882,116547613,116547922,116553194,116553908,
1678	365	0	106	1	0	0	0	0	-	236685_at	472	0	472	chr6	170899992	143299656	143300128	1	472,	0,	143299656,
1731	431	0	39	2	0	0	0	0	+	238542_at	492	0	472	chr6	170899992	150311592	150312064	1	472,	0,	150311592,
1805	1826	0	93	45	5	9	3	283	-	215078_at	1992	3	1976	chr6	170899992	160032016	160034263	7	542,12,57,121,561,574,97,	16,559,573,632,755,1318,1892,	160032016,160032558,160032570,160032628,160032749,160033311,160034166,
1806	479	0	203	2	1	2	0	0	+	244219_at	695	0	686	chr6	170899992	160091510	160092194	2	358,326,	0,360,	160091510,160091868,
1648	7401	2	339	121	23	37	10	18644	-	225142_at	7900	0	7900	chr7	158821424	139430946	139457453	32	1404,6,11,5,88,471,19,102,18,9,5,9,20,5,4,5,6,367,33,397,1457,761,1305,274,83,209,149,98,155,127,171,90,	0,1405,1419,1431,1437,1526,1998,2018,2121,2140,2150,2156,2166,2187,2193,2198,2204,2211,2579,2613,3011,4469,5231,6536,6810,6893,7102,7251,7349,7504,7639,7810,	139430946,139432350,139432360,139432371,139432376,139432464,139432935,139432954,139433056,139433074,139433083,139433088,139433097,139433117,139433122,139433126,139433131,139433137,139433504,139433537,139433934,139435391,139436152,139438072,139440324,139442823,139443167,139443813,139445147,139446167,139448258,139457363,
184	2498	1	0	0	1	1	3	188059	-	234351_x_at	2596	96	2596	chr8	146274826	116495305	116685863	5	140,1043,123,604,589,	0,141,1184,1307,1911,	116495305,116495445,116499733,116668402,116685274,
760	714	1	190	12	0	0	0	0	-	227345_at	959	0	917	chr8	146274826	23049045	23049962	1	917,	42,	23049045,
764	694	10	33	16	2	3	2	12	+	242335_at	759	0	756	chr8	146274826	23485385	23486150	5	18,6,252,44,433,	0,20,26,278,323,	23485385,23485403,23485410,23485673,23485717,
995	414	0	11	0	0	0	0	0	-	237626_at	425	0	425	chr8	146274826	53782553	53782978	1	425,	0,	53782553,
1036	1573	1	12	17	9	9	0	0	+	232668_at	1636	0	1612	chr8	146274826	59176524	59178127	10	910,78,113,248,7,16,17,9,25,180,	0,911,990,1104,1353,1361,1378,1396,1406,1432,	59176524,59177434,59177512,59177625,59177873,59177880,59177896,59177913,59177922,59177947,
1521	2884	5	110	0	0	0	8	25092	-	206432_at	3003	1	3000	chr8	146274826	122694720	122722811	9	323,12,84,1317,102,627,306,69,159,	3,326,338,422,1739,1841,2468,2774,2843,	122694720,122695044,122695057,122695142,122698525,122710134,122722273,122722581,122722652,
1609	2552	3	242	0	0	0	5	35463	+	206796_at	2830	12	2809	chr8	146274826	134272493	134310753	6	145,280,261,194,1147,770,	12,157,437,698,892,2039,	134272493,134294288,134302005,134306814,134308835,134309983,
1609	228	3	282	1	0	0	0	0	+	235821_at	520	0	514	chr8	146274826	134311255	134311769	1	514,	0,	134311255,
1665	3584	2	104	48	6	7	4	60	-	213310_at	3745	0	3745	chr8	146274826	141601643	141605441	10	169,137,1225,154,412,139,97,7,585,813,	0,169,306,1533,1688,2101,2241,2339,2347,2932,	141601643,141601813,141602007,141603233,141603387,141603799,141603938,141604035,141604042,141604628,
1668	374	0	7	11	0	0	0	0	-	241453_at	396	0	392	chr8	146274826	141958442	141958834	1	392,	4,	141958442,
155	2162	0	47	0	0	0	18	88113	-	220475_at	2209	0	2209	chr9	140273252	86082911	86173233	19	168,121,99,82,198,169,131,126,81,81,78,114,145,190,92,86,96,105,47,	0,168,289,388,470,668,837,968,1094,1175,1256,1334,1448,1593,1783,1875,1961,2057,2162,	86082911,86083999,86084709,86085535,86090079,86090677,86092782,86094888,86097402,86098929,86101955,86102640,86104315,86106934,86109988,86114363,86118093,86145308,86173186,
614	663	2	22	10	1	1	1	1	-	230258_at	700	0	698	chr9	140273252	3815250	3815948	3	181,496,20,	2,184,680,	3815250,3815431,3815928,
732	288	0	136	2	0	0	0	0	-	238156_at	427	0	426	chr9	140273252	19367390	19367816	1	426,	1,	19367390,
1445	1779	6	532	52	1	1	0	0	-	232716_at	2370	0	2370	chr9	140273252	112830719	112833088	2	442,1927,	0,443,	112830719,112831161,
1470	2429	0	111	15	4	4	2	2551	+	225292_at	2586	0	2559	chr9	140273252	116109511	116114617	7	368,219,796,184,161,260,567,	0,368,587,1384,1569,1731,1992,	116109511,116111360,116112649,116113445,116113629,116113790,116114050,
1474	339	1	143	11	0	0	0	0	-	229242_at	501	0	494	chr9	140273252	116586735	116587229	1	494,	7,	116586735,
738	451	0	0	3	0	0	0	0	-	241460_at	454	0	454	chrX	154913754	20108154	20108608	1	454,	0,	20108154,
1345	1301	3	0	0	0	0	6	13745	+	220065_at	1309	0	1304	chrX	154913754	99726485	99741534	7	234,132,141,102,154,167,374,	0,234,366,507,609,763,930,	99726485,99726883,99735547,99735913,99739156,99740668,99741160,
1584	1372	0	0	0	0	0	10	49291	+	224407_s_at	1372	0	1372	chrX	154913754	130985316	131035979	11	52,231,57,109,158,186,149,94,63,137,136,	0,52,283,340,449,607,793,942,1036,1099,1236,	130985316,131016339,131025141,131029923,131030120,131031186,131032777,131033976,131034521,131034665,131035843,
17	6025	5	104	213	23	619	26	42850	+	32094_at	6977	0	6966	chr10	135374737	73394125	73443322	29	115,82,91,247,71,511,38,67,90,556,122,111,72,549,53,595,27,33,519,207,891,442,49,99,51,182,398,40,39,	0,139,242,333,580,671,1220,1298,1440,1545,2161,2283,2409,2536,3086,3139,3772,3823,3856,4376,4617,5548,6005,6071,6188,6254,6451,6868,6927,	73394125,73394264,73394367,73435499,73436935,73437026,73437575,73437653,73437795,73437900,73438516,73438639,73438765,73438892,73439441,73439495,73440128,73440179,73440213,73440732,73440973,73441904,73442361,73442427,73442544,73442610,73442807,73443224,73443283,
623	621	1	0	18	1	1	0	0	-	217626_at	649	3	644	chr10	135374737	5035397	5036037	2	518,122,	5,524,	5035397,5035915,
623	624	0	0	17	1	1	0	0	+	217626_at	649	0	642	chr10	135374737	4995623	4996264	2	125,516,	0,126,	4995623,4995748,
686	468	0	0	1	0	0	1	7410	-	236800_at	474	0	469	chr10	135374737	13303769	13311648	2	437,32,	5,442,	13303769,13311616,
794	2308	1	682	46	12	12	2	6374	-	232216_at	3054	0	3049	chr10	135374737	27474790	27484201	15	877,53,184,16,9,33,6,527,55,53,135,906,37,123,23,	5,883,937,1122,1139,1149,1183,1190,1718,1774,1827,1962,2869,2907,3031,	27474790,27475667,27475720,27475904,27475920,27475929,27475962,27475968,27476495,27476550,27477840,27483112,27484018,27484055,27484178,
1347	2359	1	0	14	4	4	7	7718	-	227145_at	2402	1	2379	chr10	135374737	99997431	100007523	12	576,11,563,45,112,112,137,116,244,163,168,127,	23,600,612,1176,1222,1334,1446,1583,1699,1943,2106,2274,	99997431,99998007,99998018,99998581,99998626,100000811,100001312,100002099,100003299,100005323,100006526,100007396,
189	2556	7	121	36	6	6	7	120346	-	228082_at	2726	0	2726	chr11	134452384	122448133	122571199	14	29,23,2,19,9,1312,164,142,91,32,168,202,158,369,	0,29,53,56,76,86,1399,1563,1705,1797,1829,1997,2199,2357,	122448133,122448163,122448186,122448188,122448207,122448216,122449528,122450619,122459002,122459093,122459597,122460429,122473712,122570830,
853	1191	3	0	42	5	8	2	1866	+	229221_at	1244	0	1244	chr11	134452384	35183185	35186287	7	59,5,181,171,760,55,5,	0,63,69,251,423,1183,1239,	35183185,35183249,35183254,35183435,35183606,35186227,35186282,
925	516	0	0	1	0	0	0	0	+	228910_at	567	0	517	chr11	134452384	44597972	44598489	1	517,	0,	44597972,
1082	1529	1	230	0	0	0	10	6799	-	209878_s_at	1767	7	1767	chr11	134452384	65178392	65186951	11	655,75,81,213,105,132,92,149,152,27,79,	0,655,730,811,1024,1129,1261,1353,1502,1654,1681,	65178392,65179734,65179901,65182333,65182764,65183712,65184170,65185733,65185983,65186225,65186872,
1084	1561	0	53	27	6	6	3	6638	-	204420_at	1653	0	1647	chr11	134452384	65416182	65424461	10	1161,95,5,8,26,35,39,10,88,174,	6,1167,1263,1269,1277,1304,1340,1380,1391,1479,	65416182,65418060,65418155,65418160,65420855,65420881,65420916,65420955,65420965,65424287,
